The Miracles,soul;rnb;60s;oldies;1960,Way Over There,TRKKRDK128E0794285
Dorian,,Hit the Street,TRKKREX128F427DAAE
Eyehategod,sludgecore;Sludge;experimental;doom metal;drone,Disturbance,TRKKRUU12903CFEABD
Soil & Eclipse,synthpop,Shroud of Stone,TRKKRZV128F4234B7D
Spektr,,The Bronson Beat,TRKKJNR12903CEF47B
Fourplay,Smooth Jazz;fourplay;instrumental;jazz fusion;lounge jazz;guitar cool jazz instrumental;Jazz after midnight;smototh jazz;laid-back-jazz;good feeling music;smooth and jazzy;morning rain;laid-back-mellow;music to fall asleep to;quiet storm;I like;relax;relaxing;easy listening;Mellow;smooth jazz tag;pop;Love,Making Up,TRKKJQV128F428B25B
Urszula Dudziak,,Sparrows (Radio Edit),TRKKJRH12903CA4785
Java,,Moatjé,TRKKJIU128F429EC9C
Throwing Muses,,Marriage Tree (live),TRKKJCX128F92D05BA
SikTh,Progressive metal;mathcore;experimental;metalcore;math metal;noisecore;Anubiss;obscenely heavy;weird though;catchy groove metalish;Weird stuff;math;groove metal;metal;alternative;Technical Metal;chaotic;fucking super ultra awsome;Cletus-giri;aggresivo;Avantgarde progressiv experimental music;mathgrind;rock;hardcore;two singers;Progressive Metalcore;UKHC;ubercool;my favourits;UK;favorites;avant garde;MathMetal;the ostrich tag;truc de dingue,Pussyfoot,TRKKJPK128F92E8448
Magic Bullets,Skirrel tunes;american i like,tender throes,TRKKJZT128F425B81A
Dakis,,Elpizo,TRKKJIQ12903CAC91F
Parrita,,Quítate La Venda,TRKKJHE128F428E544
GLAD,,Breathe on Me, Breath of God,TRKKJLG12903CB5770
Athlete,british;Heartbreaking;indie;rock;indie rock;alternative;perfect;hotlist2010;sitting alone in a dark room;-3;one star;songs that make me fly;Athlete;Listen To This;eddie;star;Great Band;british i like,The Getaway,TRKKJMW128F931FB9F
CAS METAH,,Can't Lie,TRKKJRV12903CE9621
Shinehead,,Pay Me,TRKKJSA128F931B867
Sébastien Tellier,rock;pop;songs named Benny which happens to be my name too;french;indie;Soundtrack;electronica;fun;Maybe;save;Too Much;songs with names in the title;kmem9300;vocal group;a decouvrir;type,Benny,TRKKJGH128F92FFAD8
Los Compadres,,En La Casa De Don Juan - Original,TRKKJNW128F92E4CE0
Archer Prewitt,,When I'm With You,TRKKJHQ128F424E12C
C-Mon & Kypski,turntablism;chillig;Nederlandstalig;justBert;justBert-djstuff;quirky breaks;lieblinge;chill;electro;dance;electronic;german;hip hop;trance;chillout;C-Mon  Kypski;cool;Awsome and Dutch,Money Money,TRKKJIV128F42B61F3
Cari Clara,,The Bright Lights,TRKKJBR12903CBEC5E
Albert Hammond,albert hammond,Half A Million Miles From Home,TRKKJIX128F9321AE1
Rank 1,trance;electronic;progressive trance;dutch;dutch trance;crowe;prog-trance;trancesylvania;tranccce;balearic trance;electrotrance;favorite trance;Rank 1;2002;beat;NYC;san francisco;dance;techno;Dream Dance;Rank1;dido;rank one,Down From The Deep,TRKKJXZ12903CC2FA2
Government Warning,,Executed,TRKKJDW12903CF51F8
The Hurt Process,hardcore;emocore;metalcore;screamo,Boogie Nights in Michigan,TRKKJHS128F93068BF
Muriel Anderson,,Nola,TRKKJYH128F4293876
Fortitude,,Let God Arise (Album Version),TRKKJFK128E07855FE
Tasmin Archer,rock;soul;sophisticatedly;be angry;the word your;the word care;langsamly;the word in;rude words;belter;quality pop;HOT Songs;RB;Power ballad;folk;grock;dramatic;vocal;ambient;easy listening,In Your Care,TRKKJTK12903CF6236
Cake on Cake,indie pop;Sweden;female vocalists,no spring,TRKKJDP128F93365D7
Wayne Marshall & Ward 21,,Full Up The Party,TRKKJJS128F4238E25
Rick Springfield,rock;pop;classic rock;male vocalist;80s pop and rock;rick springfield;the word life;the word rock;rock-baladas-rock;Let It Go Shitt;rick springfield-rock of live,Rock Of Life,TRKKJCF128F92FFB5F
Kingpin Skinny Pimp,,Break It Down,TRKKJHD128F4262CE7
Eddie Money,,Club Michelle,TRKKJAR128F42BC33D
Zappacosta,,Orlando,TRKKJIN128EF34C6BE
Jamal Abdillah,,Hilanglah Rinduku,TRKKJWA128F14A27E2
The Pentangle,folk;folk rock;british folk;psychedelic;rock;killforpeace;jazwiecs playlist;de todo mio favoritos;rock and roll mia favoritos;searching for original lp;TOKE FOLK;pentangle;mage;Guitare;want;english folk;60's;psych folk;awsome;good folk;drama;Mittelalter;loved tracks;guitar;Awesome;about my home town xD;mavinfolk,Bruton Town,TRKKJAY128F932A5C4
Johnny Paycheck,country;classic country;Johnny Paycheck,Slide Off Your Satin Sheets,TRKKJPF12903CB4613
Sylvester Weaver,,St. Louis Blues,TRKKJGH128F429F4C5
Eddi Reader,folk;singer-songwriter;female vocalists;Scottish;indie folk;eddi reader,Muddy Water,TRKKJDM128F4281A37
Josh White,,Frankie & Johnny,TRKKJIE12903CB3983
Be Bop Deluxe,rock;progressiv;ric ocasek;tantotempotaste;70s,Music In Dreamland,TRKKJEK128F145B1FA
Thursday,thursday;emo;post-hardcore;favorites;epic;i call them VIP;alternative rock;alternative;punk;rock;Grows on you;likable songs;to dance to;nj murder scene;progressive post-hardcore;jersey life;incredibly overrated but still good;ma jerzey boyz;Sharp Objects;good or ok or great;favors;yay i like it;love in my ears;this song is PERFECTION;makes me yell;new jersey;amazing;rock punk;Good Stuff;00s;NJ;my chemical romance;emoish;jersey;Love it;2006;disappointing;eyeball records;high energy;heard on Pandora;thursday: telegraph avenue kiss;<3;xoxo;telegraph avenue kiss;post hardcore;Favorite Bands,Telegraph Avenue Kiss,TRKKJFU128F92CB35A
Sad Lovers and Giants,new wave;80s;post-punk;Post punk;sleep and dreams;1980s;melancholic;1983;timeless pop melancholy;darkwave;myfavo;sad;electronica;outstanding text;indie;have to listen when i feel so bad;perfectbass;5am party;factory-esque;proto ballad bombs;Englishness;perfect guitar;spin;mid;1996;Favourite Tunes;Remember;dark;90s;prog;Sleep;punk;psychedelic;rock;Solomusika-PostPunk;Dreamy;I want back to the 80s;alternative;Sousaphonic AOTM 201102,Sleep (Is for Everyone),TRKKJMH12903CB8326
Michael Schenker Group,,Shoot Shoot (Live At Hammersmith, 25th September 1980),TRKKJCO128F9337EB9
Ska Cubano,ska;latin;AK,Ay Caramba!,TRKKJJR128E078E6FF
Serge Desaunay,,Rue du canal,TRKKJHP128F4265A66
Os Mundi,krautrock;Progressive rock;german;guapo,Children's Games,TRKKJSD128F42A7347
Mark Chesnutt,,When I Get This Close To You,TRKKJBU128F9318B0C
The Band,,Unbreak My Heart,TRKKJHZ12903CF7C95
Tito Rojas,,A la montaña,TRKKJNX128F427791F
Andrew Gold,,Beeps - Phone Message,TRKKJKF128F930CA55
Ludovico Einaudi,Classical;piano;instrumental;soothing;contemporary classical;ambient;Mellow;relaxing;Ludovico Einaudi;piano master;beautiful;cello;chillout;Liebling;Uplifting;new age classic;dearly beloved;atmospheric;melancholic;relax;granka;Jolie Mome;dya;chillmark;beautiful classics;gilbertlinley;gilbert;sad but beautiful;dv;ecin;calm classical;chello;contemporary instrumental;gentle;nice;Sleep;classical piano;Soundtrack;new age;solo piano;chill;study;smooth;Varietist-loved-tracks;einaudi;pretty;philipglass;COMPOSITORES;ludovico;minimalist;experimental;ambient chill;craigarmstrong;sanglots;Meditation;italianigdchill;Milan,Svanire,TRKKJTW128F14A2CC9
Vinnie Paz,,Aristotle's Dilemma,TRKKJOV12903CCEAC5
Rotting christ,black metal;Greek;melodic black metal;nice;great lyrics;Rotting Christ;metal united;you my flesh;Greek Black Metal;greek metal,You My Flesh,TRKKJVE12903CF0692
Richard Thompson / Linda Thompson,,The Egypt Room,TRKKDGY128E0784544
The Wallflowers,rock;alternative rock;90s;alternative;Mellow;classic rock;roots rock;relax;chill;sad;slow;41 bpm;classicrock;to check out;1996;music of my youth;tracks i know;songs that make me cry;pflicht;coffee break;Downer;wallflowers;ArtistToKnow;2008;couchphone;songs that define me;leapsandbounds tapecollection;the hot dylan;ThiagoCamargo;next door;apluscoop;bpluscoop;lando1;country;folk;rap;emo;american;relaxing;smooth;female vocalists;calm;melancholic;folk rock;folkie;Ballad;melancholy;California;heartbreak;Good Stuff;alt country;Heartbreaking;male vocals;seen live;kos;The Wallflowers;Acoustic Rock;chillax;check out;scot 1990s song;hardcore,I Wish I Felt Nothing,TRKKDNO128E0791291
John Sebastian,,Well, Well, Well,TRKKDGJ128F148B6F4
La Costa Brava,spanish indie pop,Adoro a las pijas de mi ciudad,TRKKDHK128F93011E5
Selena,,Despues De Enero,TRKKDHE12903CB6027
Jane Jensen,electronic;Girl Rock;love track,Candy & Razor Blades,TRKKDQG128F4264AC3
Eddie Cochran,,Guybo aka Drum City (2009 Digital Remaster),TRKKDIH128F92FC878
Paul Stanley,hard rock;rock;hair metal;gw guitar;heavy metal;melodic rock;gw soft rock;kiss;MGK;the starchild;escola de hard rock;gw hard rock;3-star;kiss y solo,It's Not Me,TRKKDUY128F1486EF8
Live,rock;alternative;90s;alternative rock;post-grunge;american;live;90s Rock;guitar;bass;excellent;90s alternative;malloy2000 playlist - top songs - classical to metal;on a cloud;leapsandbounds CDCollection;so great;rock top;91;3;voices;Love it;love the lyrics;anthem;great songs;essential;Favourite Songs;favorites;Grunge;pearl jam;Favorite Artists;good,Take My Anthem,TRKKDQD128E078F432
Bikini Kill,punk;riot grrrl;punk rock;90s;Bikini Kill;under two minutes;Kathleen Hanna;lookup;Sleater Kinney;dyke;angry chick music;Julie Ruin;grl pwr;tomix;Bratmobile;BRace yourself;olspur;bakan;quittenlikoer;fucking slick;demod;k hanna;rock;indie;political;college;grrrl;hardcore punk;fantastic;Favorite songs ever;Punk Favorites;riot grrl;freedom;revolution;Chicks that Rock;fuck you;le tigre;song of the moment;girl punk;pure love;friendsofthekingofrummelpop,star bellied boy,TRKKDPG128F9326FE3
Voorhees,,Crowd Of One,TRKKDFV128F4243C4E
Shawn McDonald,,Shadowlands (Scattered Pieces: Live Album Version),TRKKDBX128EF33FA99
Testament,,The Preacher  (LP Version),TRKKDWJ128F9329718
Danzig,metal;heavy metal;hard rock;DANZIG;rock;horror punk;acordes geniales;rouhg-life-no kidding;good beat;Glenn Danzig;Old School Metal;80s;punk;solos increibles;trolltunes;Dave Hiddens Music Box;ace tune;d radio;80s Heavy Metal;daves faves;eu;80s hard rock;splendid;Memorable;Bra skit;general metal;Evil Elvis;Rock and Roll;favorite songs;great songs;blues rock;80s metal;Best music ever;80s rock;Gothic;doom metal;sleaze rock;seen live;sex music;ls;diverse;love the sound;garten metal;true punk;classic rock;Favorite,Soul On Fire,TRKKDRJ128F92E8AB4
Asteria,early music,Ne Je Ne Dors (Guillaume Dufay),TRKKDJQ128F930CB19
Vicious Rumors,,Electric Twilight (LP Version),TRKKDJT128F4222BFC
Omid,,Chera ba man,TRKKDHY128F92DC0B5
Teresa Cristina,,Couve É Nome De Maria (Ao Vivo),TRKKDBT12903CCD625
Johnny Copeland,,Little Coquette,TRKKDWA128F92F4AC3
Arthur Adams,,Who Does She Think She Is,TRKKDNJ128F421A86F
Bananarama,80s;pop;new wave;synth pop;female vocalists,True Confessions,TRKKDXZ128EF342724
A Faith Called Chaos,,Ten Thousand Times Tongue And Cheek (LP Version),TRKKDXC128F42A6A21
Carey Bell,blues;jammin harmonica,Walkin' By Myself,TRKKDHV128F93566E3
EZgirl,,210 Jenny Family Pictures (Ancient Hebrew Psalm),TRKKDBC12903CE83F5
The Pharcyde,,Live @ Dodger Stadium,TRKKDCF128F428A135
Hagen,,B-Side,TRKKDMZ128F9323249
Leon 78,,Rainbow Of Life (CJ Peeton Remix),TRKKDDT12903CA8F52
Margaret Whiting,jazz;swing;female vocalists;vocal;jazz vocal;oldies;musicals;Good Stuff;Big Band;40s;crooner;WWII,Moonlight In Vermont,TRKKDWD128F9303D8A
Narada Michael Walden,,Oneness-Cry,TRKKDJH128F92E9964
Scritti Politti,,Take Me In Your Arms And Love Me (Nice Up The Area Mix),TRKKDEP128F424C135
The Pigeon Detectives,,Don't Know How To Say Goodbye (Live at Radio 1 One Big Weekend),TRKKDSR128F42914C4
Hopesfall,post-hardcore;emocore;Awesome;post hardcore;fav;liric;seen live,I Can Do This On An Island,TRKKDNB128F92ED211
Caravelli,easy listening;instrumental;easy,With All My Heart,TRKKDBF128F42337DC
bso,,Relojes,TRKKDSO128F4245840
The Five Blind Boys of Mississippi,,Jesus is a Rock,TRKKDLU128F932BCF1
Fairground Attraction,Scottish,Goodbye To Songtown,TRKKDCA128F93001D7
Cocteau Twins,,Wax And Wane (remixed),TRKKDQQ128EF35F649
Sugar Ray,alternative;rock;summer,Even Though,TRKKDJO12903CF483B
John Gorka,singer songwriter;folk;country;mine;contemporary folk;contemporary singer songwriter;John Gorka;a long red glare;hman-Nanci-G;americana;sampling;journeyman;Wanderings,The Gypsy Life,TRKKDDE128F4221C81
Victoria Beckham,female vocalist;pop;dance;rnb;british;b-side;kot;Solo Spice,Feels So Good,TRKKDBP128F425766B
West, Bruce & Laing,,Play With Fire,TRKKDCJ128F92DFBCD
Foxy,1979,Hot Number (12" Version),TRKKDHH128E0788CA8
Carol Sloane,,You Make Me Feel So Young,TRKKDGN128F92E648E
Bigelf,Psychedelic Rock;Progressive rock;Bigelf;Stoner Rock;hard rock;Coldplay;rock alternativo;Big Elf,Pain Killers,TRKKDWS128E0786B07
Coti Sorokin,pop,Ya Paso,TRKKDMH128F92FF61F
The Spook,horror punk;punk rock,You, Me and the Laboratory,TRKKDYG128F934EF43
Henrik Schwarz,House;electro;mood music;minimal deep house,Walk Music,TRKKDNH128F4294E6A
La Barberia Del Sur,spanish pop,Alegria De Vivir,TRKKDOY128F4232870
Thunder Express,,Everbody Knows About a Broken Heart,TRKKDEL12903CEC791
GBH,,Destroy,TRKKDCA128F92F2C8E
Breakdown,,Devil's Advocate,TRKKDHD128F4260C2E
Sarah Blasko,indie;singer-songwriter;australian;female vocalists;alternative;songs die so gut sind das ich meiner oma ihr klein haeuschen zwar nicht verkaufen aber zumindest dafuer beleihen wuerde;easy listening;folk;pop;makes me cry;check out;sarah;luci;play it again;sarah blasko;heart ache;Mellow Babes;net schlecht;mimmit;kaplya;personal jukebox;songs die so gut sind das ich meiner oma ihr klein haeuschen zwar nicht verkaufen aber zumindest dafuer beleihen wuerde eventuell;memoriens;Mellow;electronic;piano;alternative pop;sad;summer;relaxing;smooth;autumn;Aussie;melancholy;dreaming;Adult Alternative;alone;seen live;just a tag;indie folk;friendsofthekingofrummelpop,I Could Never Belong To You,TRKKDUL128F9312D9A
Dead Luke,cap,Not Tonight,TRKKDLN12903CDAAEF
Nancy LaMott,,My Foolish Heart,TRKKDBL128F4234A52
Brandon Heath,,I Will Lay You Down,TRKKDTT128F92ECE1E
The Folk Implosion,indie rock;Lo-Fi;PJ;touch me,Slap Me,TRKKGKY128F4230553
Ritchie Valens,oldies;50s;Rock and Roll;Love;1959;beautiful;rockabilly;donna;romantic;rock n roll;rocknroll;classic rock;rock;Ballad;names;60s;1958;favorites;pop;ballads;slovari;acclaimed music top 3000;inves;girls name;card playing;1950s;classic pop;Sentimental;male vocalists;richie valens;slow;latin;american;hibest;summer deck;60s soft;chillout;magix;50s pop and rock;intricate melodic phrasing;oldiess;amor retro;love ity;where are you;500;triple note feel;a twelve-eight time signature;electric rhythm guitars;heartbreaking lyrics;ritchie valens;masked marvel;supercla;cantitor;perficta;balida;Ipod songs;the very best of the 50s;old inves;friends5;50cw;detti;infatuation blues;dance:waltz;dance:viennese waltz;dance:wiener walzer;infatuation tunes;p nost;bestallof;godismix;newbest;mine sange;oldisy rzondzom;lobest;L7;classic rock n roll;british;emotions;r&b;50's;gute laune;best;male vocalist;heartache;doo wop;great song;great songs;Love this song;heartbreak;new;my favorite;women;top artists;nostalgia;AMer;hits of 1959;bestone;blues influences;oldies favorites;girl names;a subtle use of vocal harmony,Donna,TRKKGFA128F9301057
The White Tie Affair,pop;dance;pop punk;Awesome;r&b;The White Tie Affair;male vocalists;get;JakeOrcutts Favs;like owl city;1000 clever lines unread on clever napkins;hot adult contemporary;my library;idobi;awesome anytime;Happy Face;catchy tunes;Amazing music;download;Favorite;electro;heard on Pandora;seen live;pop rock;going out;summer,Candle (Sick And Tired),TRKKGSL128F92DFA50
Skip James,blues;acoustic;cool;skip james;guitar;folk;delta blues;oldies;fav;Classic Blues;dirty old blues;and carry me away,How Long Buck,TRKKGBK128F427E15A
Stress Assassin,Recommended,Lextorp 2,TRKKGAN128F92F928B
Gunjack,,Fade To Black,TRKKGZP12903CD107D
The High Dials,handclaps;porntastic,Diamonds in the Dark,TRKKGOR128F9337163
Frankie Avalon,oldies;50s;pop;venus;Rock and Roll;60s;1959;frankie avalon;male vocalists;doo wop;Mellow;Love;pergente;close harmony;rock;easy listening;Philly;classic rock;spinoza;my favorite;rock n roll;my other stuff;bubblegum;hits of 1959;60s The Good Days;Venus Avalon;oldies love;solid gold;teppaz;sunowo;sheila;Mondiovision;billboard number ones;oldiess;in space;favourite 50s;pachufaces;favouritestreamable;melodiosa;Katermusik;my essential songs;venus-Frankie Avalon;hardy-geranium neighbor;eternity and beyond;malt shop;fluffy sweet;frankie avaion;ik ben;oldies cwcafe;fhNotBad;k-1959radio;kmem7700;mamabu;FRANKIE AVALON    VENUS;GH10;fH Projex;mom and pop;60s Gold;best songs of the 50s;radio PROS;ghtferceson;rumba;favourite;amy;great song;favorites;beautiful;Love this song;motown;Standards;superb;happiness;love songs;60s pop;british;romantic;smooth;Favorite;chill;my favourite cheeses;Don;chillout;Ricky Nelson;connie francis;slow motion;all the best;good old stuff;name;classic rock n roll;im in love;suave;love this music;david lynch;diner;MetroHadriani Loves this music;rockabilly soul;cool;peters relax-music;GOOD RHONDO;1950-59SinglesNo1,Venus,TRKKGJC12903C9FBB5
The Men They Couldn't Hang,,Beast Of Brechfa,TRKKGYG12903CE240F
James Carr,,Introduction to Cell Life in San Quentin,TRKKGNH12903CE1BED
Hazmat Modine,blues;throat singing,It Calls Me,TRKKGVQ128F4293D19
Christopher Franke,Soundtrack;babylon 5,Londo,TRKKGKZ128F42A8725
Happy Family,Progressive rock,Partei,TRKKGND128F931C104
Dead Can Dance,future sound of london;Papua New Guinea,Dawn of the Iconoclast (Remastered),TRKKGZR128F42852C9
Glutamato Ye-Ye,,Holocausto canibal,TRKKGTP12903CE77DB
Pulley,,Sick,TRKKGBP128F42624AF
Bobby,,Lights Down Low,TRKKGRS128E07899C2
Derrick Morgan,Favorit songs,One Morning in May,TRKKGLR12903CE2380
The Haunted,,Moronic Colossus (Live),TRKKGPH12903CBBDC9
The Brakes,,Cigarette In The Rain (Album),TRKKGLD128F421C1A3
Kreidler,acid jazz;electronic,La Capital,TRKKGDB128F42268DE
Erskine Hawkins and His Orchestra,,Hawk's Boogie,TRKKGIN128F92D65F3
Darcelys,doucefrance;comicaboulot,Un mas tout blanc,TRKKGWU128F9319732
Dominique Dalcan,,L'Amour Eclaire,TRKKGFW128F92D03EE
Fubura Sekibo,,Psychedelic Baby,TRKKGYZ12903CDEAD0
Les Rita Mitsouko,nice;rock;french;bass;francais,Trop Bonne,TRKKGMC128F4268475
Marcelo Radulovich,,The Sonar Wonder,TRKKGWS12903CBED6B
Babak Shayan,,Raw Silk,TRKKGAU12903CD9426
HammerFall,Power metal;heavy metal;metal;Hammerfall;swedish;melodic metal;true metal;live;FUCKING AWESOME;epic metal;symphonic metal;Swedish Metal;Progressive metal;Sweden;Metal Listening;epic;rock;00s;speed metal;drive;Crimson Thunder - Hammerfall;hard metal;the m-c big smile award;arcane metal;Aylo;sol;hammer fall;45;roks;no radiohead radio;dbpower;Grailknight;wariors;AxlsDreams;AxlsFun;garten metal;I am metalhead;ilverin;gargulec;Profide emotion;melmetdcz;diow;Love Angel C;ghfd;uitluisteren otherdays;favourite;hard rock;thrash metal;Awesome;drums;energy;other;symphonic power metal;fantasy metal;speed;power;battle metal;Melodic Power Metal;metal ballad;Talking;spirit;Great Band;totally sweet;Extreme Power Metal;erinnerungen;heard on Pandora;seen live;crimson thunder;Gothic Metal;pop;cheesemetal;Progressive rock;viking metal;jimithevox;Rock Heavy Loud;chase;yes;Horst;Steelheart;MyMetal;hammerfal;makes me feel stronger;just love this song;sedes,Crimson Thunder,TRKKGNA128F426A76C
Larry the Cable Guy,comedy,Redneck Santa Claus (Album Version),TRKKGEN128F42374CA
T-Bone Walker,,She's Going To Ruin,TRKKGHB128F934A516
Venomous Concept,hardcore;grindcore;hardcore punk;fresh grindcore,Drop Dead,TRKKGIO12903CF4508
Mike Watt,cover;rock;guitar;instrumental;aitchsonic;aitchcover;aitch;sonic rock;Majors beloved FM;aitchchill;blue light rain;aitchepic;fav tracks;cover song;Tribute;1995;90s;epic;favorites;20th Century;alternative;covers;punk;basically bass not,Maggot Brain,TRKKGZS128F42709D3
Petula Clark,,Moi je prefere l'amour a tout ca,TRKKGZG12903CCB3A1
Union of Knives,british i like;indietronica;electronic;alternative;perfect,Infant Eyes,TRKKGTY128F14939EF
Pist.on,Gothic Metal,Exit Wound,TRKKGIP128F9344369
David Rose,,Night And Day,TRKKGJI128F92DC0F6
Nadja Benaissa,pop,Leila Skit,TRKKGTV128F42A7B48
Son Kite,trance;goa;progressive trance;bassline;progressive psytrance;prog trance;tomix;son kite;Torquemada;psylli,Bitter Sweet,TRKKGUR128F932C2CB
Laura Nyro,,Child In A Universe,TRKKGDS12903CF7D3C
Aaron Hall,new jack swing;rnb;male vocalist,Pick Up The Phone,TRKKGRX128E078E7FF
Tina Dickow,female vocalists;danish;indie;Tina Dickow;singer-songwriter;tina dico;Dream;english;Zero 7;RockPop;soft;female;chillout;Mellow;acoustic;Getit Remix;tina dickow - my mirror;pop;dansk;laptop;guitar;mirror;tina;aarhus;dane;jazz-inspired;You and Me;pretty pop;Akustisk;the great one;tv-2;danish artist;out of our heads;one vocalist;lang:en;rhythm and blues-sounding;aabyhoj;alternative;post-rock;female vocals;scandinavian;UK;denmark;Progressive;chill;Favorite;female vocalist;post rock;melancholy;postrock;soulful;00s;minor;singer songwriter;soul;2000s;electric guitar;misc;love the voice;break of day;quiet rock;rock;trentemller;hrbart,My Mirror,TRKKGTY128F93100A4
Skip James,blues;delta blues;Classic Blues;illinois blues;she lyin;fav male blues siners;blusera;gramophone;skip james;4;1964;keyboards;american;piano;acoustic;loved;Blues Tag;and carry me away,Illinois Blues,TRKKGNG128F93454C4
Holy Moses,thrash metal;old school;Trashmetal,World Chaos,TRKKGSL128F933F3EB
Until next time...,,Mic Break 3,TRKKGGV128F42133DA
Stomy Bugsy,,Je Suis Dedans,TRKKGWH128F427CE51
FUNONTUESDAY,creative commons;Open Music Contest,dying again,TRKKGHP128F934A2C9
Kamil Polner,trance;uplifting trance;melodic trance;electronic;dance;progressive trance,Soul Cure,TRKKGDQ128F9323C9F
DJ Green Lantern,,The Champ,TRKKOBT128F930C58F
Sugababes,pop;female vocalists;british;dance;Sugababes;00s;catchy;Love;girl group;about you now;party;2007;female;upbeat;electronic;britpop;pop rock;favorites;dance pop;sexy;girl band;UK;Awesome;fun;UK Pop;love at first listen;rnb;UK top 40;Love it;top 40;new;sweet;lala;Energetic;bouncy;pop indie;songs of 2007;heartbreak;legal drug;amazing vocals;teenpop;dr luke;cant get out of my head;vocal harmony;awesome chorus;awesome lyrics;my-mood;female vocalist;Favorite;guilty pleasure;addictive;sugarbabes;addictive music;Girl Groups;WyrOoMbaNe W kOOoSmos;driving fast with the windows down;Female Voices;lovely music;i love it;change;favouritepop;electronica;suga;dance beat;Female Group;cool;cute;electropop;Disco;feelgood;indie;favourite;club;cant stop listening;chillout;Second chances;Let you down;amazing production;musicspirit;i was wrong;poetsmuziek;girlsband;video in London :;mel-pop;hollyoaks;commercial pop;klasse;Miraj;getthis;uk chart 2007;Meilenstein;electro-pop-rock;amelle;keisha;Cathy Dennis;narusaku;girls vocals;io-a;linedance;stars in my eyes,About You Now,TRKKOOJ128F92DE210
Animal Collective,experimental;freak folk;Love;indie;favorite tracks;nix partly;perfect;tikwid;tagset adamsaunders;tag animal collective;sex for my ears;differnt;animal collective - tikwid;crazy fast talking;breezy and veezy;nix luv;nix vocalising;nix clix;quintessence;totally fucking awesome;fucking great;trippy;strange;crazy;happy;quirky;Avant-Garde;pop;rock;fucking incredible;i like this now,Tikwid,TRKKODK128F42B9429
Ed Harcourt,singer-songwriter;Ed Harcourt;best tracks,Deathsexmarch,TRKKOQE128E07910A2
Mercan Dede,world;Meditation;ambient;Asian Fusion;Oriental;chill;haunting;world fusion;meditative;Asian Chillout;yolculukta;arkadaslarla;yalnizken;sufi;Mercan Dede;tema favorito,Nar-I Can,TRKKOCO128F42555BF
Zita Swoon,alternative;Love;alternative rock;world;newmusic,L'opaque paradis,TRKKOWY128F42641D6
Mike & The Mechanics,rock;pop;80s;houseILM;tanzbar2;i love 80s;wake-up song;late 1990s;traurig;excellent;british;90s;Disco;pop rock;fun;all the best;Best Songs of the 90s,Now That You've Gone,TRKKONK128F146A18F
Wesentlich,,Bleib nicht stehn,TRKKOZG128F932400C
Trini Lopez,fiesta happy music,La Bamba (Album Version),TRKKONB128F147EE2E
X-Press 2,House,Enjoy The Ride,TRKKOBA12903CB0D86
Before the Dawn,,Insomnia,TRKKOUT12903CB4D04
Cutty Ranks,dancehall;dub;otpadno;CUTTY RANKS,Time To Die,TRKKOWJ128F146960B
Kenny Rogers,country;duets,Anyone Who Isn't Me Tonight,TRKKOEU128F1457165
Judas Priest,heavy metal;metal;NWOBHM;speed metal;heavy;Power metal;Ripper era;80s metal;heavy metal favorites;british heavy metal;classic British rock;british hard rock;sound storm;Judas P;metalnco radio;My Metal Core;Classic British Hard Rock;classic british heavy metal;must get;classic hard rock;classic heavy metal;My Songs;00s;New Wave of British Heavy Metal;british rock;catchy;British Metal;hard rock;classic rock;heard on Pandora;Judas Priest;feed on me;songs with awesome solos,Feed on Me,TRKKOUX128F932A01D
Shai,slow jams;soul;90s;r&b;urban;Real RnB;RB;thats my shizznit;Shai-Come with me;slow jams tag;mysoul,Come With Me,TRKKOWM128F14567D6
illScarlett,punk;ska;emo;ska-punk;snowboard;beachin;Toronto Rock,The Fashion (Do Or Die),TRKKOZT128F92EAC67
Chic,70s;favouritestreamable,Take A Closer Look (LP Version),TRKKOTC128F423882F
The Specials,ska;two-tone;british;80s;new wave;2 tone;The Specials;punk;reggae;2-tone;1979;ska revival;70s;two tone;MetroHadriani Loves this music;fantastic opener;1970s;f50 1979;UK;gangsters;1976-1981 according to stretchead;alternative;police and thieves;topska;2tone;John Peel;crime;festive fifty;rock;pop;77davez-all-tracks;spy ska;debut single;dum dum dum;bastinado step;malsonebenbei;Lehigh Valley Community Public Radio;1st wave;i like to sing along;mercurial;The Specials Gangsters;chingonas;reggae mon;mi likes;bujamsie;reggaeska;seminal 70s;rock around the clock;beut;cool classic;Excellent tune;herlig ska;love to death;doom era;geweldig;Buster;New Wave and Eighties;original ska;john peel - festive fifty;70seventie;ws2010 - 2;root362;no6 uk;even gangsters bleed;slag at bernie rhodes;glasto2009;luka w;blue light rain;yannik;lenas kapellen;lenas disco;john peels festive 50 1979;john peels festive 50;div ska;There goes my hero;the strombo show;palachanga;Renata songs;gore kutherrie;one star;lekker ska;cops and robbers;f50 1981;this is uncool;it is a ska ska world;ska doesnt suck;my mish mash radio;childhood association;80's;Rainy Day;2nd wave ska;minor key;80s y 90s;male vocalists;All-Time Favorites;four;makes me want to dance;seventies;skank;top artists,Gangsters,TRKKONT128F92FA35B
Will Holland,,Timeless,TRKKOBC128F92F999C
Alan Licht,prda,All Blues (For Phill Niblock and James McNew),TRKKOSV128F423D717
Shades Of Al Davis,,These Things Take Time,TRKKOTZ128F9321E89
